tipo_ingreso,linea,modalidad,plan,region,plantel,programa,tier,promedio_min,promedio_max,porcentaje_beca,notas
Cualquier ingreso,licenciatura,ejecutiva,11,General,Aguascalientes,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Aguascalientes,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Teocaltiche,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Teocaltiche,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Teocaltiche,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Teocaltiche,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Teocaltiche,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Teocaltiche,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Obregón,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Obregón,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Obregón,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Obregón,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Obregón,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Obregón,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Hermosillo,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Hermosillo,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Hermosillo,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Hermosillo,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Hermosillo,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Hermosillo,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Cd. del Carmen,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Cd. del Carmen,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Cd. del Carmen,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Cd. del Carmen,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Cd. del Carmen,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Cd. del Carmen,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Chihuahua,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Chihuahua,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Chihuahua,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Chihuahua,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Chihuahua,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Chihuahua,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Querétaro,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Querétaro,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Querétaro,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Querétaro,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Querétaro,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Querétaro,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Zacatecas,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Zacatecas,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Zacatecas,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Zacatecas,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Zacatecas,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Zacatecas,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Cd. Mante,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Cd. Mante,,,8.0,8.9,50,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,9,General,Cd. Mante,,,9.0,10.0,55,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
Cualquier ingreso,licenciatura,ejecutiva,11,General,Cd. Mante,,,7.0,7.9,45,Fuente: Catálogo Becas activas C3 2026. LICENCIATURA EJECUTIVA NUEVO COSTO BACAEJE2026NI BECA ACADEMICA EJECUTIVA 2026 NI ACADÉMICA 45 A 55% 7 a 10 BACAEJE2026RI BECA ACADEMICA EJECUTIVA 2026 RI ACADÉMICA 45 A 55% 7 a 10 ESTA ES BECA ACADÉMICA NO ES BECA INCREMENTAL
