linea_negocio,planteles,tipo_beneficio,tipo_ingreso,modalidad,duracion,porcentaje_adicional,estado,notas
Salud,Chihuahua,Porcentaje adicional,Nuevo ingreso,Presencial,1 cuatrimestre,15,Activo,Fuente fila 20 del catálogo C3 2026. Beca 15% adicional para primer cuatrimestre válido para 1er cuatrimestre Salud plantel Chihuahua Descuento exclusivo para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. Soporte: Chihuahua Salud 15%+ C3
Licenciatura,Todos,Porcentaje adicional,Cualquier ingreso,Todas,Toda la carrera,15,Activo,Fuente fila 21 del catálogo C3 2026. Beca Hermanos SOLO PRESENCIALES Y EJECUTIVAS Limitado a 3 hermanos Se puede acumular con el descuento de referidos Beca para toda la carrera Si en plantel tiene alguna beca activa en la línea de negocio de su elección al momento de inscribirse se le respeta el % de beca y se le suma el 15% de beca hermanos. NO APLICA PARA LIC. ONLINE Vigencia: Cierre de C3 2026. SIIE: BHER15NI BECA HERMANOS 15 NI CONVENIO 15% BHER15RI BECA HERMANOS 15 RI CONVENIO 15% BHER30NI BECA HERMANOS 30 NI CONVENIO 30% BHER30RI BECA HERMANOS 30 RI CONVENIO 30% BHER35NI BECA HERMANOS 35 NI CONVENIO 35% BHER35RI BECA HERMANOS 35 RI CONVENIO 35% BHER40NI BECA HERMANOS 40 NI CONVENIO 40% BHER40RI BECA HERMANOS 40 RI CONVENIO 40% BHER45NI BECA HERMANOS 45 NI CONVENIO 45% BHER45RI BECA HERMANOS 45 RI CONVENIO 45% BHER50NI BECA HERMANOS 50 NI CONVENIO 50% BHER50RI BECA HERMANOS 50 RI CONVENIO 50% BHER55NI BECA HERMANOS 55 NI CONVENIO 55% BHER55RI BECA HERMANOS 55 RI CONVENIO 55% Soporte: Reglas de Becas Hermanos.vf .docx.pdf
Licenciatura,Culiacán,Porcentaje adicional,Nuevo ingreso,Presencial,Toda la carrera,15,Activo,Fuente fila 22 del catálogo C3 2026. Beca del 15% de beca para Licenciatura escolarizada para toda la carrera Esta beca es vigente solo para NI de C3. Se pierde por materias reprobadas Se pierde por promedio abajo de 7 Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BLICCUL15%NI BECA LICENCIATURA CULIACAN 15%NI ACADÉMICA 15% LICENCIATURA CULIACÁN BLICCUL15%RI BECA LICENCIATURA CULIACAN 15%RI ACADÉMICA 15% LICENCIATURA CULIACÁN
Todas,Culiacán,Porcentaje adicional,Nuevo ingreso,Presencial,Toda la carrera,15,Activo,"Fuente fila 23 del catálogo C3 2026. Beca del 15% de beca para Lic. en Salud para toda la carrera Esta beca es vigente solo para NI de C3. Se pierde por materias reprobadas Se pierde por promedio abajo de 7 Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BACALICSCUL15%ADNI BECA ACADÉMICA LICENCIATURA SALUD CULIACÁN 15% ADICIONAL NI ACADÉMICA 7-7.9 = 30%, 8-8.9 = 35%, 9-10 = 40% CULIACÁN BACALICSCUL15%ADRI BECA ACADÉMICA LICENCIATURA SALUD CULIACÁN 15% ADICIONAL RI ACADÉMICA 7-7.9 = 30%, 8-8.9 = 35%, 9-10 = 40% CULIACÁN Soporte: Culiacán Salud"
Todas,Tijuana,Porcentaje adicional,Nuevo ingreso,Presencial,1 cuatrimestre,15,Activo,"Fuente fila 24 del catálogo C3 2026. Beca del 15 % para Lic. Escolarizada y Salud Es beca incremental sobre la beca académica Esta beca es vigente solo para NI del ciclo próximo de venta, no aplica para inscritos previos que no concluyeron su proceso. El porcentaje de beca está ligado al promedio Se pierde por materias reprobadas. Se pierde por promedio abajo de 7. Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. Soporte: Tijuana escolarizado y salud"
Todas,Querétaro,Porcentaje adicional,Nuevo ingreso,Presencial,Toda la carrera,15,Activo,"Fuente fila 25 del catálogo C3 2026. Beca del 15% adicional en licenciatura y salud para toda la carrera Es beca incremental sobre la beca académica Esta beca es vigente solo para NI de C3, no aplica para inscritos previos que no concluyeron su proceso. El porcentaje de beca está ligado al promedio Se pierde por materias reprobadas. Se pierde por promedio abajo de 7. Becas exclusivas para alumnos que se matriculan por primera vez en UNIDEP Vigencia: Cierre de C3 2026. SIIE: BLICQRO30NI BECA LICENCIATURA QUERETARO 30% NI CONVENIO 30% LICENCIATURA REFORMA Y SALUD QUERETARO BLICQRO30RI BECA LICENCIATURA QUERETARO 30% RI CONVENIO 30% LICENCIATURA REFORMA Y SALUD QUERETARO BLICQRO35NI BECA LICENCIATURA QUERETARO 35% NI CONVENIO 35% LICENCIATURA REFORMA Y SALUD QUERETARO BLICQRO35RI BECA LICENCIATURA QUERETARO 35% RI CONVENIO 35% LICENCIATURA REFORMA Y SALUD QUERETARO BLICQRO40NI BECA LICENCIATURA QUERETARO 40% NI CONVENIO 40% LICENCIATURA REFORMA Y SALUD QUERETARO BLICQRO40RI BECA LICENCIATURA QUERETARO 40% RI CONVENIO 40% LICENCIATURA REFORMA Y SALUD QUERETARO"
Posgrado,Todos,Porcentaje adicional,Cualquier ingreso,Online,Toda la carrera,15,Activo,"Fuente fila 26 del catálogo C3 2026. PRIMER Y SEGUNDO POSGRADO Posgrado externo y exalumnos Online y para Planteles El porcentaje de beca está ligado al promedio Se pierde por materias reprobadas. Se pierde por promedio abajo de 7. Beca 15% adicional para posgrado externo y exalumnos, esta beca aplicará para todo el posgrado y es beca incremental sobre la beca académica. Vigencia: Cierre de C3 2026. SIIE: BPOS30%ADEXNI BECA POSGRADO 30% EXTERNO NI CONVENIO 30 TODOS POSGRADO BPOS30%ADEXRI BECA POSGRADO 30% EXTERNO RI CONVENIO 30 TODOS POSGRADO BPOS35%ADEXNI BECA POSGRADO 35% EXTERNO NI CONVENIO 35 TODOS POSGRADO BPOS35%ADEXRI BECA POSGRADO 35% EXTERNO RI CONVENIO 35 TODOS POSGRADO BPOS40%ADEXNI BECA POSGRADO 40% EXTERNO NI CONVENIO 40 TODOS POSGRADO BPOS40%ADEXRI BECA POSGRADO 40% EXTERNO RI CONVENIO 40 TODOS POSGRADO Soporte: Beca 15% Posgrado Externo y Exalumnos"
Licenciatura,Nogales,Porcentaje adicional,Nuevo ingreso,Todas,1 cuatrimestre,20,Activo,Fuente fila 27 del catálogo C3 2026. Descuento del 20% sobre la beca otorgada por promedio para nuevo ingreso en Licenciatura Escolarizada y Ejecutiva Este descuento es solo para el primer cuatrimestre. Vigencia: Cierre de C3 2026.
Todas,Puerto Peñasco; Cananea; Agua Prieta,Porcentaje adicional,Cualquier ingreso,Todas,Toda la carrera,100,Activo,Fuente fila 28 del catálogo C3 2026. Beca del 100% para estudios de maestría a quienes se inscriban a alguno de nuestros programas de licenciatura para el C1. (externos y exalumnos) Vigencia: Cierre de C3 2026. SIIE: BACA100%ABSNI BECA ACADEMICA 100% ABSORCION NI ACADEMICA 100 POSGRADO BACA100%ABSRI BECA ACADEMICA 100% ABSORCION RI ACADEMICA 100 POSGRADO
Licenciatura,Agua Prieta,Porcentaje adicional,Cualquier ingreso,Presencial,Toda la carrera,15,Activo,Fuente fila 31 del catálogo C3 2026. Beca 15%+ Licenciatura escolarizada Vigencia: Cierre de C3 2026.
Licenciatura,Cananea,Porcentaje adicional,Cualquier ingreso,Presencial,Toda la carrera,15,Activo,Fuente fila 32 del catálogo C3 2026. Beca 15%+ Licenciatura escolarizada Vigencia: Cierre de C3 2026.
